Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
7,315750,8.20993076698638e+18,22961037.5721425,2964519.98321135,-23658902.4067409,11470910.9424235,4964547.28562046,-4027114.28366882,-470938.921306203,-0.06377149177839,-0.694224686349652,0.0672603331130825,-0.863690770157797,4954621.69498508,-4124541.49984504,-411674.773744919,4802276.12270537,-5619929.08424494,497956.784472744
16,315750,3.52950295243188e+18,22291236.0979304,26792151.4593316,320929.947066871,605084.278102956,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0723781823293553,-0.672141795895396,-0.0541629181189104,-0.530744451446986,5041530.8645499,-4011779.20595888,-467143.904856281,6380793.24961127,-3744999.02979,-401123.03582487
4,315750,1.17394337051265e+19,23217761.370073,5801595.60193077,-16847651.4762423,-19674200.1392027,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0874765972977329,-0.68864647356289,-0.274572314241036,-0.787606942106142,4968619.61546464,-4089487.57229558,-564364.846954067,5031583.12725698,-5053859.67481284,-2008851.07383529
1,315750,1.54223933039358e+19,20832290.3261743,14773213.3017643,-21116769.415038,5407477.99577459,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0704222183778533,-0.684588153259643,-0.0201634246611442,-0.733912356741928,4991908.77244267,-4074786.24771606,-454540.949681169,5501070.47601705,-4961899.53160861,-149396.012857436
9,315750,1.73406014265292e+19,24578885.5133104,-4735872.7925014,-22871344.8449328,-12679747.5764883,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0898427020488629,-0.710217289148082,-0.240334042035579,-0.991680602520608,4878220.72816204,-4194813.98524934,-579588.280136292,3937719.79778222,-6021849.95198367,-1763289.17211364
26,315750,1.94889945186888e+19,23598860.2677029,23621806.2258275,5695008.16054821,-11017899.5905056,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0817585525176637,-0.665420786597078,-0.18472883677903,-0.455958886674385,5064706.99449351,-3974921.99986327,-527559.2701746,6538790.4185279,-3206790.96907349,-1360859.59291949
22,315750,-5.44771107502527e+18,20768528.6949334,23120409.2886228,-9709201.77526426,-8326425.20121343,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0763120422271847,-0.678526079247057,-0.121015356327959,-0.629998740633866,5014347.41528453,-4042699.81157145,-492485.914516939,5943516.71354473,-4333494.11516032,-894509.055747412
11,315780,4.29678619861088e+18,22492560.1087849,12734379.9564965,-15988567.4291085,16628283.5008588,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0636077502266605,-0.686740662244297,0.100334829586586,-0.72613269163083,5021663.04208821,-4117117.17652904,-413605.715778413,5546830.99176893,-4925458.16169304,746796.528710547
8,315780,1.79544280263308e+19,24104992.945994,14075873.2623371,-5890609.17502834,21771557.7152603,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0491516467634416,-0.679137445682149,0.230502758804745,-0.625389413587306,5056928.18989647,-4082133.28041991,-319691.520615207,5882615.66409813,-4247699.86072171,1702769.82458883
3,315780,1.42714684275214e+19,21427268.1898927,16836918.6484979,-12412412.2603475,-16362857.0055831,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0821192542470417,-0.683524449737381,-0.195066409404978,-0.675580927053704,5028082.32948564,-4095409.58709322,-533735.856248918,5708096.56824606,-4574345.87588874,-1445259.01380856
